السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديات (إناث),عدد العاملين الأجانب,عدد الأجانب (ذكور),عدد الأجنبيات (إناث)
2023,1,المنطقة الشرقية,صُنع المنتجات الجلدية والمنتجات ذات الصلة,صغيرة,8,14,7,7,151,151,0
2023,1,المنطقة الشرقية,صُنع المنتجات الجلدية والمنتجات ذات الصلة,متناهية الصغر,15,3,2,1,32,32,0
2023,1,المنطقة الشرقية,صُنع المنتجات الجلدية والمنتجات ذات الصلة,متوسطة,1,50,50,0,90,90,0
2023,1,المنطقة الشرقية,صُنع الملبوسات,صغيرة,239,554,210,344,2247,1999,248
2023,1,المنطقة الشرقية,صُنع الملبوسات,متناهية الصغر,2304,328,124,204,4978,4690,288
2023,1,المنطقة الشرقية,صُنع الملبوسات,متوسطة,13,394,83,311,977,971,6
2023,1,المنطقة الشرقية,صنع المعدات الكهربائية,صغيرة,58,335,233,102,955,949,6
2023,1,المنطقة الشرقية,صنع المعدات الكهربائية,كبيرة,9,2210,2090,120,1937,1931,6
2023,1,المنطقة الشرقية,صنع المعدات الكهربائية,متناهية الصغر,117,44,27,17,249,249,0
2023,1,المنطقة الشرقية,صنع المعدات الكهربائية,متوسطة,27,830,628,202,1744,1742,2
2023,1,المنطقة الشرقية,صُنع المشروبات,صغيرة,23,81,43,38,359,358,1
2023,1,المنطقة الشرقية,صُنع المشروبات,كبيرة,4,577,379,198,1501,1500,1
2023,1,المنطقة الشرقية,صُنع المشروبات,متناهية الصغر,35,9,5,4,64,63,1
2023,1,المنطقة الشرقية,صُنع المشروبات,متوسطة,6,160,65,95,488,485,3
2023,1,المنطقة الشرقية,صنع الفلزات القاعدية,صغيرة,96,474,306,168,1509,1508,1
2023,1,المنطقة الشرقية,صنع الفلزات القاعدية,كبيرة,20,2875,2616,259,5160,5158,2
2023,1,المنطقة الشرقية,صنع الفلزات القاعدية,متناهية الصغر,108,50,40,10,200,200,0
2023,1,المنطقة الشرقية,صنع الفلزات القاعدية,متوسطة,61,2036,1428,608,4860,4859,1
2023,1,المنطقة الشرقية,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,صغيرة,182,489,256,233,2065,2054,11
2023,1,المنطقة الشرقية,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,كبيرة,1,61,61,0,249,249,0
2023,1,المنطقة الشرقية,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,متناهية الصغر,419,166,66,100,993,990,3
2023,1,المنطقة الشرقية,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,متوسطة,15,396,236,160,1253,1250,3
2023,1,المنطقة الشرقية,صنع الحواسيب والمنتجات الإلكترونية والبصرية,صغيرة,20,120,84,36,297,297,0
2023,1,المنطقة الشرقية,صنع الحواسيب والمنتجات الإلكترونية والبصرية,متناهية الصغر,46,24,16,8,76,74,2
2023,1,المنطقة الشرقية,صنع الحواسيب والمنتجات الإلكترونية والبصرية,متوسطة,5,168,105,63,350,350,0
2023,1,المنطقة الشرقية,صنع الأثاث,صغيرة,163,525,244,281,2203,2195,8
2023,1,المنطقة الشرقية,صنع الأثاث,كبيرة,3,128,70,58,705,702,3
2023,1,المنطقة الشرقية,صنع الأثاث,متناهية الصغر,543,115,49,66,1329,1327,2
2023,1,المنطقة الشرقية,صنع الأثاث,متوسطة,30,698,353,345,2121,2113,8
2023,1,المنطقة الشرقية,صناعة معدات النقل الأخرى,صغيرة,5,22,7,15,61,60,1
2023,1,المنطقة الشرقية,صناعة معدات النقل الأخرى,كبيرة,3,2928,2854,74,785,785,0
2023,1,المنطقة الشرقية,صناعة معدات النقل الأخرى,متناهية الصغر,12,5,3,2,22,22,0
2023,1,المنطقة الشرقية,صناعة معدات النقل الأخرى,متوسطة,3,49,42,7,161,161,0
2023,1,المنطقة الشرقية,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,صغيرة,26,148,91,57,408,408,0
2023,1,المنطقة الشرقية,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,كبيرة,2,298,282,16,807,807,0
2023,1,المنطقة الشرقية,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,متناهية الصغر,29,8,6,2,68,68,0
2023,1,المنطقة الشرقية,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,متوسطة,10,358,270,88,1005,1004,1
2023,1,المنطقة الشرقية,صناعة الآلات والمعدات غير المصنفة في موضع أخر,صغيرة,72,526,379,147,1130,1128,2
2023,1,المنطقة الشرقية,صناعة الآلات والمعدات غير المصنفة في موضع أخر,كبيرة,7,1599,1467,132,2101,2099,2
2023,1,المنطقة الشرقية,صناعة الآلات والمعدات غير المصنفة في موضع أخر,متناهية الصغر,67,30,19,11,127,126,1
2023,1,المنطقة الشرقية,صناعة الآلات والمعدات غير المصنفة في موضع أخر,متوسطة,37,1519,1282,237,2365,2361,4
2023,1,المنطقة الشرقية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,صغيرة,53,302,221,81,622,621,1
2023,1,المنطقة الشرقية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,كبيرة,1,6016,6004,12,467,467,0
2023,1,المنطقة الشرقية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,متناهية الصغر,62,38,21,17,123,121,2
2023,1,المنطقة الشرقية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,متوسطة,7,270,216,54,293,293,0
2023,1,المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,صغيرة,7,117,74,43,34,31,3
2023,1,المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,كبيرة,2,582,429,153,162,152,10
2023,1,المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متناهية الصغر,2,4,2,2,2,2,0
2023,1,المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متوسطة,4,299,183,116,141,140,1
2023,1,المنطقة الشرقية,تعدين ركازات الفلزات,صغيرة,10,16,13,3,92,92,0
2023,1,المنطقة الشرقية,تعدين ركازات الفلزات,كبيرة,1,570,566,4,3,3,0
2023,1,المنطقة الشرقية,تعدين ركازات الفلزات,متناهية الصغر,55,18,12,6,115,115,0
2023,1,المنطقة الشرقية,تعدين ركازات الفلزات,متوسطة,1,77,65,12,54,53,1
2023,1,المنطقة الشرقية,تعدين الفحم والليغنيت,صغيرة,2,5,5,0,13,13,0
2023,1,المنطقة الشرقية,تعدين الفحم والليغنيت,متناهية الصغر,5,3,3,0,8,8,0
2023,1,المنطقة الشرقية,تشييد المباني,صغيرة,5016,11316,5856,5460,67734,67530,204
2023,1,المنطقة الشرقية,تشييد المباني,كبيرة,139,25493,17518,7975,124966,124301,665
2023,1,المنطقة الشرقية,تشييد المباني,متناهية الصغر,12802,3061,1551,1510,30782,30671,111
2023,1,المنطقة الشرقية,تشييد المباني,متوسطة,753,11023,6412,4611,64350,64223,127
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,صغيرة,35,162,113,49,407,407,0
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,كبيرة,2,812,800,12,212,212,0
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,83,31,15,16,169,169,0
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,متوسطة,1,137,131,6,103,103,0
2023,1,المنطقة الشرقية,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,صغيرة,1929,4480,2940,1540,17542,17519,23
2023,1,المنطقة الشرقية,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,كبيرة,7,1057,901,156,1535,1533,2
2023,1,المنطقة الشرقية,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,متناهية الصغر,7246,1955,1321,634,16975,16953,22
2023,1,المنطقة الشرقية,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,متوسطة,64,1849,1435,414,3920,3919,1
2023,1,المنطقة الشرقية,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,صغيرة,2322,9336,5154,4182,21830,21745,85
2023,1,المنطقة الشرقية,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,كبيرة,14,3854,2428,1426,3977,3967,10
2023,1,المنطقة الشرقية,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,متناهية الصغر,6642,3557,1969,1588,12805,12721,84
2023,1,المنطقة الشرقية,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,متوسطة,184,6688,4308,2380,11719,11625,94
2023,1,المنطقة الشرقية,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,صغيرة,3503,12795,6108,6687,30546,30333,213
2023,1,المنطقة الشرقية,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,كبيرة,28,7321,3802,3519,10785,10028,757
2023,1,المنطقة الشرقية,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,متناهية الصغر,17541,7471,3790,3681,34790,34568,222
2023,1,المنطقة الشرقية,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,متوسطة,206,6991,3526,3465,13068,12993,75
2023,1,المنطقة الشرقية,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,صغيرة,265,365,193,172,3031,3026,5
2023,1,المنطقة الشرقية,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,كبيرة,3,1840,1288,552,9667,9648,19
2023,1,المنطقة الشرقية,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,متناهية الصغر,1881,261,139,122,2816,2812,4
2023,1,المنطقة الشرقية,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,متوسطة,23,390,256,134,1908,1903,5
2023,1,المنطقة الشرقية,أنشطة خدمات دعم التعدين,صغيرة,57,481,391,90,633,625,8
2023,1,المنطقة الشرقية,أنشطة خدمات دعم التعدين,كبيرة,27,28346,27222,1124,11464,11444,20
2023,1,المنطقة الشرقية,أنشطة خدمات دعم التعدين,متناهية الصغر,77,93,66,27,93,92,1
2023,1,المنطقة الشرقية,أنشطة خدمات دعم التعدين,متوسطة,23,1405,1294,111,1070,1064,6
2023,1,المنطقة الشرقية,أنشطة خدمات المعلومات,صغيرة,21,118,66,52,142,139,3
2023,1,المنطقة الشرقية,أنشطة خدمات المعلومات,متناهية الصغر,40,36,17,19,48,47,1
2023,1,المنطقة الشرقية,أنشطة خدمات المعلومات,متوسطة,6,589,312,277,146,142,4
2023,1,المنطقة الشرقية,أنشطة خدمات الأطعمة والمشروبات,صغيرة,3851,10713,4922,5791,39242,39070,172
2023,1,المنطقة الشرقية,أنشطة خدمات الأطعمة والمشروبات,كبيرة,18,2904,1973,931,6468,6391,77
2023,1,المنطقة الشرقية,أنشطة خدمات الأطعمة والمشروبات,متناهية الصغر,9411,3225,1454,1771,21273,21165,108
2023,1,المنطقة الشرقية,أنشطة خدمات الأطعمة والمشروبات,متوسطة,208,4683,1864,2819,13887,13831,56
2023,1,المنطقة الشرقية,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,صغيرة,50,166,88,78,622,620,2
2023,1,المنطقة الشرقية,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,كبيرة,3,1494,886,608,5544,4260,1284
2023,1,المنطقة الشرقية,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,متناهية الصغر,50,31,20,11,96,96,0
2023,1,المنطقة الشرقية,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,متوسطة,16,353,234,119,1344,1342,2
2023,1,المنطقة الشرقية,أنشطة تقديم الخدمات للمباني وتجميل المواقع,صغيرة,508,1461,746,715,6624,6524,100
2023,1,المنطقة الشرقية,أنشطة تقديم الخدمات للمباني وتجميل المواقع,كبيرة,75,15564,10848,4716,69392,67949,1443
2023,1,المنطقة الشرقية,أنشطة تقديم الخدمات للمباني وتجميل المواقع,متناهية الصغر,1187,386,208,178,2491,2472,19
2023,1,المنطقة الشرقية,أنشطة تقديم الخدمات للمباني وتجميل المواقع,متوسطة,146,3082,2062,1020,13606,13213,393
2023,1,المنطقة الشرقية,أنشطة النشر,صغيرة,19,123,61,62,160,157,3
2023,1,المنطقة الشرقية,أنشطة النشر,متناهية الصغر,65,37,13,24,117,116,1
2023,1,المنطقة الشرقية,أنشطة النشر,متوسطة,2,128,107,21,141,141,0
2023,1,المنطقة الشرقية,أنشطة المنظمات ذات العضوية,صغيرة,14,100,35,65,65,61,4
2023,1,المنطقة الشرقية,أنشطة المنظمات ذات العضوية,متناهية الصغر,66,62,37,25,83,80,3
2023,1,المنطقة الشرقية,أنشطة المنظمات ذات العضوية,متوسطة,1,86,43,43,74,70,4
2023,1,المنطقة الشرقية,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,صغيرة,6,24,15,9,53,52,1
2023,1,المنطقة الشرقية,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,متناهية الصغر,24,9,4,5,38,38,0
2023,1,المنطقة الشرقية,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,صغيرة,40,261,143,118,335,320,15
2023,1,المنطقة الشرقية,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,متناهية الصغر,110,97,53,44,130,123,7
2023,1,المنطقة الشرقية,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,متوسطة,7,281,178,103,302,291,11
2023,1,المنطقة الشرقية,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,صغيرة,266,1687,977,710,2386,2345,41
2023,1,المنطقة الشرقية,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,كبيرة,23,5008,4020,988,6431,6406,25
2023,1,المنطقة الشرقية,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,متناهية الصغر,466,368,219,149,823,813,10
2023,1,المنطقة الشرقية,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,متوسطة,70,2962,2211,751,3924,3907,17
2023,1,المنطقة الشرقية,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,صغيرة,7,25,10,15,78,77,1
2023,1,المنطقة الشرقية,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,متناهية الصغر,3,2,2,0,3,3,0
2023,1,المنطقة الشرقية,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,متوسطة,1,29,28,1,59,59,0
2023,1,المنطقة الشرقية,أنشطة العمل الاجتماعي، دون إقامة,صغيرة,195,2185,384,1801,458,384,74
2023,1,المنطقة الشرقية,أنشطة العمل الاجتماعي، دون إقامة,كبيرة,2,317,141,176,405,293,112
2023,1,المنطقة الشرقية,أنشطة العمل الاجتماعي، دون إقامة,متناهية الصغر,198,385,59,326,127,99,28
2023,1,المنطقة الشرقية,أنشطة العمل الاجتماعي، دون إقامة,متوسطة,20,1497,372,1125,441,296,145
2023,1,المنطقة الشرقية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,صغيرة,73,568,346,222,733,715,18
2023,1,المنطقة الشرقية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,كبيرة,2,891,534,357,156,142,14
2023,1,المنطقة الشرقية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,متناهية الصغر,181,121,77,44,280,275,5
2023,1,المنطقة الشرقية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,متوسطة,19,1151,735,416,779,763,16
2023,1,المنطقة الشرقية,أنشطة الخدمات الشخصية الأخرى,صغيرة,722,1446,324,1122,5524,3536,1988
2023,1,المنطقة الشرقية,أنشطة الخدمات الشخصية الأخرى,كبيرة,4,287,118,169,2243,2243,0
2023,1,المنطقة الشرقية,أنشطة الخدمات الشخصية الأخرى,متناهية الصغر,6669,1312,451,861,14618,13330,1288
2023,1,المنطقة الشرقية,أنشطة الخدمات الشخصية الأخرى,متوسطة,12,250,92,158,950,915,35
2023,1,المنطقة الشرقية,أنشطة التشييد المتخصصة,صغيرة,1974,5030,2513,2517,24273,24182,91
2023,1,المنطقة الشرقية,أنشطة التشييد المتخصصة,كبيرة,90,17436,14245,3191,69645,69482,163
2023,1,المنطقة الشرقية,أنشطة التشييد المتخصصة,متناهية الصغر,7108,1713,826,887,17792,17746,46
2023,1,المنطقة الشرقية,أنشطة التشييد المتخصصة,متوسطة,258,5206,3264,1942,23322,23229,93
2023,1,المنطقة الشرقية,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,صغيرة,10,60,25,35,97,97,0
2023,1,المنطقة الشرقية,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,كبيرة,1,280,220,60,314,310,4
2023,1,المنطقة الشرقية,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,متناهية الصغر,26,20,8,12,32,32,0
2023,1,المنطقة الشرقية,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,متوسطة,2,44,21,23,260,260,0
2023,1,المنطقة الشرقية,أنشطة البرمجة والإذاعة,صغيرة,3,14,8,6,17,17,0
2023,1,المنطقة الشرقية,أنشطة البرمجة والإذاعة,متناهية الصغر,11,3,0,3,22,21,1
2023,1,المنطقة الشرقية,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,صغيرة,108,727,365,362,891,869,22
2023,1,المنطقة الشرقية,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,كبيرة,2,672,605,67,287,287,0
2023,1,المنطقة الشرقية,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,متناهية الصغر,292,249,118,131,416,408,8
2023,1,المنطقة الشرقية,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,متوسطة,11,645,320,325,405,395,10
2023,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,صغيرة,23,429,392,37,60,56,4
2023,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,كبيرة,8,5158,4690,468,0,0,0
2023,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,متناهية الصغر,53,88,78,10,51,51,0
2023,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,متوسطة,16,1419,1342,77,81,81,0
2023,1,المنطقة الشرقية,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,صغيرة,1,3,0,3,8,8,0
2023,1,المنطقة الشرقية,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,متناهية الصغر,6,1,1,0,9,8,1
2023,1,المنطقة الشرقية,أنشطة الاستخدام,صغيرة,49,257,124,133,373,252,121
2023,1,المنطقة الشرقية,أنشطة الاستخدام,كبيرة,21,100,70,30,53655,39649,14006
2023,1,المنطقة الشرقية,أنشطة الاستخدام,متناهية الصغر,291,310,167,143,352,331,21
2023,1,المنطقة الشرقية,أنشطة الاستخدام,متوسطة,11,503,375,128,916,484,432
2023,1,المنطقة الشرقية,الهندسة المدنية,صغيرة,439,1615,852,763,6407,6383,24
2023,1,المنطقة الشرقية,الهندسة المدنية,كبيرة,98,25599,20954,4645,112816,112641,175
2023,1,المنطقة الشرقية,الهندسة المدنية,متناهية الصغر,566,294,157,137,1206,1201,5
2023,1,المنطقة الشرقية,الهندسة المدنية,متوسطة,180,4012,2809,1203,16883,16857,26
2023,1,المنطقة الشرقية,النقل المائي,صغيرة,28,166,119,47,230,225,5
2023,1,المنطقة الشرقية,النقل المائي,متناهية الصغر,47,38,33,5,69,69,0
2023,1,المنطقة الشرقية,النقل المائي,متوسطة,13,793,629,164,364,357,7
2023,1,المنطقة الشرقية,النقل الجوي,صغيرة,16,103,78,25,119,118,1
2023,1,المنطقة الشرقية,النقل الجوي,متناهية الصغر,61,17,9,8,110,110,0
2023,1,المنطقة الشرقية,النقل البري و النقل عبر الأنابيب,صغيرة,822,2883,1570,1313,12125,12112,13
2023,1,المنطقة الشرقية,النقل البري و النقل عبر الأنابيب,كبيرة,51,9121,7438,1683,23519,23509,10
2023,1,المنطقة الشرقية,النقل البري و النقل عبر الأنابيب,متناهية الصغر,2016,547,259,288,4103,4092,11
2023,1,المنطقة الشرقية,النقل البري و النقل عبر الأنابيب,متوسطة,218,4952,3201,1751,16374,16353,21
2023,1,المنطقة الشرقية,الطباعة واستنساخ وسائط الأعلام المسجّلة,صغيرة,55,242,100,142,586,585,1
2023,1,المنطقة الشرقية,الطباعة واستنساخ وسائط الأعلام المسجّلة,كبيرة,1,491,337,154,367,362,5
2023,1,المنطقة الشرقية,الطباعة واستنساخ وسائط الأعلام المسجّلة,متناهية الصغر,89,60,30,30,152,149,3
2023,1,المنطقة الشرقية,الطباعة واستنساخ وسائط الأعلام المسجّلة,متوسطة,3,63,24,39,191,191,0
2023,1,المنطقة الشرقية,الصناعة التحويلية الأخرى,صغيرة,85,398,289,109,1116,1111,5
2023,1,المنطقة الشرقية,الصناعة التحويلية الأخرى,كبيرة,6,914,843,71,1573,1569,4
2023,1,المنطقة الشرقية,الصناعة التحويلية الأخرى,متناهية الصغر,102,72,48,24,182,178,4
2023,1,المنطقة الشرقية,الصناعة التحويلية الأخرى,متوسطة,24,538,356,182,1465,1461,4
2023,1,المنطقة الشرقية,الصرف الصحي,صغيرة,19,47,21,26,264,261,3
2023,1,المنطقة الشرقية,الصرف الصحي,كبيرة,3,325,206,119,1855,1855,0
2023,1,المنطقة الشرقية,الصرف الصحي,متناهية الصغر,33,21,10,11,82,81,1
